image_variant,model,true_class,top1_class,top1_probability_percent,is_correct,topk_predictions
dark,AlexNet,ship,ship,59.4458281993866,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.594458281993866, 'probability_percent': 59.4458281993866}, {'rank': 2, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.15844255685806274, 'probability_percent': 15.844255685806274}, {'rank': 3, 'class_id': 9, 'class_name': 'truck', 'probability': 0.0778154656291008, 'probability_percent': 7.78154656291008}, {'rank': 4, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.05390549078583717, 'probability_percent': 5.390549078583717}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 0.04429752379655838, 'probability_percent': 4.429752379655838}]"
dark,GoogLeNet,ship,ship,70.44378519058228,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.7044378519058228, 'probability_percent': 70.44378519058228}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.2530075013637543, 'probability_percent': 25.300750136375427}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.03712832182645798, 'probability_percent': 3.7128321826457977}, {'rank': 4, 'class_id': 3, 'class_name': 'cat', 'probability': 0.004426158498972654, 'probability_percent': 0.44261584989726543}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 0.0004532964958343655, 'probability_percent': 0.04532964958343655}]"
low_contrast,VGG16,ship,ship,52.92282700538635,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.5292282700538635, 'probability_percent': 52.92282700538635}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.41781777143478394, 'probability_percent': 41.781777143478394}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.04051922634243965, 'probability_percent': 4.051922634243965}, {'rank': 4, 'class_id': 9, 'class_name': 'truck', 'probability': 0.012110666371881962, 'probability_percent': 1.2110666371881962}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 0.000137489871121943, 'probability_percent': 0.0137489871121943}]"
low_contrast,AlexNet,ship,ship,58.48824977874756,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.5848824977874756, 'probability_percent': 58.48824977874756}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.1258317083120346, 'probability_percent': 12.58317083120346}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.07645948976278305, 'probability_percent': 7.645948976278305}, {'rank': 4, 'class_id': 9, 'class_name': 'truck', 'probability': 0.05551765114068985, 'probability_percent': 5.551765114068985}, {'rank': 5, 'class_id': 3, 'class_name': 'cat', 'probability': 0.04008083418011665, 'probability_percent': 4.008083418011665}]"
low_contrast,GoogLeNet,ship,ship,86.84777021408081,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.8684777021408081, 'probability_percent': 86.84777021408081}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.12939168512821198, 'probability_percent': 12.939168512821198}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.0015601596096530557, 'probability_percent': 0.15601596096530557}, {'rank': 4, 'class_id': 3, 'class_name': 'cat', 'probability': 0.00044488554704003036, 'probability_percent': 0.044488554704003036}, {'rank': 5, 'class_id': 9, 'class_name': 'truck', 'probability': 7.406609802274033e-05, 'probability_percent': 0.007406609802274033}]"
noise_10,VGG16,ship,automobile,54.507261514663696,False,"[{'rank': 1, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.545072615146637, 'probability_percent': 54.507261514663696}, {'rank': 2, 'class_id': 8, 'class_name': 'ship', 'probability': 0.449445515871048, 'probability_percent': 44.9445515871048}, {'rank': 3, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.005442189518362284, 'probability_percent': 0.5442189518362284}, {'rank': 4, 'class_id': 9, 'class_name': 'truck', 'probability': 3.96573705074843e-05, 'probability_percent': 0.00396573705074843}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 6.351065451326576e-09, 'probability_percent': 6.351065451326576e-07}]"
noise_10,AlexNet,ship,ship,78.48384976387024,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.7848384976387024, 'probability_percent': 78.48384976387024}, {'rank': 2, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.13345791399478912, 'probability_percent': 13.345791399478912}, {'rank': 3, 'class_id': 9, 'class_name': 'truck', 'probability': 0.03654538094997406, 'probability_percent': 3.654538094997406}, {'rank': 4, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.020760996267199516, 'probability_percent': 2.0760996267199516}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 0.013304997235536575, 'probability_percent': 1.3304997235536575}]"
noise_10,GoogLeNet,ship,ship,99.94341731071472,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.9994341731071472, 'probability_percent': 99.94341731071472}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.00046437885612249374, 'probability_percent': 0.046437885612249374}, {'rank': 3, 'class_id': 3, 'class_name': 'cat', 'probability': 4.8953384975902736e-05, 'probability_percent': 0.004895338497590274}, {'rank': 4, 'class_id': 1, 'class_name': 'automobile', 'probability': 4.006550807389431e-05, 'probability_percent': 0.004006550807389431}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 7.528552941948874e-06, 'probability_percent': 0.0007528552941948874}]"
noise_25,VGG16,ship,truck,52.70300507545471,False,"[{'rank': 1, 'class_id': 9, 'class_name': 'truck', 'probability': 0.5270300507545471, 'probability_percent': 52.70300507545471}, {'rank': 2, 'class_id': 8, 'class_name': 'ship', 'probability': 0.4693223536014557, 'probability_percent': 46.93223536014557}, {'rank': 3, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.002617010846734047, 'probability_percent': 0.2617010846734047}, {'rank': 4, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.0010305760661140084, 'probability_percent': 0.10305760661140084}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 2.6299678879126986e-08, 'probability_percent': 2.6299678879126986e-06}]"
noise_25,AlexNet,ship,ship,36.697936058044434,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.36697936058044434, 'probability_percent': 36.697936058044434}, {'rank': 2, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.27497047185897827, 'probability_percent': 27.497047185897827}, {'rank': 3, 'class_id': 9, 'class_name': 'truck', 'probability': 0.15375138819217682, 'probability_percent': 15.375138819217682}, {'rank': 4, 'class_id': 6, 'class_name': 'frog', 'probability': 0.06930970400571823, 'probability_percent': 6.930970400571823}, {'rank': 5, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.05017908290028572, 'probability_percent': 5.017908290028572}]"
noise_25,GoogLeNet,ship,ship,70.22435069084167,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.7022435069084167, 'probability_percent': 70.22435069084167}, {'rank': 2, 'class_id': 6, 'class_name': 'frog', 'probability': 0.16535940766334534, 'probability_percent': 16.535940766334534}, {'rank': 3, 'class_id': 2, 'class_name': 'bird', 'probability': 0.06664346158504486, 'probability_percent': 6.664346158504486}, {'rank': 4, 'class_id': 3, 'class_name': 'cat', 'probability': 0.03577430546283722, 'probability_percent': 3.577430546283722}, {'rank': 5, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.024400999769568443, 'probability_percent': 2.4400999769568443}]"
noise_50,VGG16,ship,ship,69.07157301902771,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.6907157301902771, 'probability_percent': 69.07157301902771}, {'rank': 2, 'class_id': 9, 'class_name': 'truck', 'probability': 0.25033333897590637, 'probability_percent': 25.033333897590637}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.03600694239139557, 'probability_percent': 3.600694239139557}, {'rank': 4, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.02261599898338318, 'probability_percent': 2.261599898338318}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 0.0003256478812545538, 'probability_percent': 0.03256478812545538}]"
noise_50,AlexNet,ship,truck,30.490228533744812,False,"[{'rank': 1, 'class_id': 9, 'class_name': 'truck', 'probability': 0.3049022853374481, 'probability_percent': 30.490228533744812}, {'rank': 2, 'class_id': 8, 'class_name': 'ship', 'probability': 0.28484898805618286, 'probability_percent': 28.484898805618286}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.20014862716197968, 'probability_percent': 20.014862716197968}, {'rank': 4, 'class_id': 6, 'class_name': 'frog', 'probability': 0.092645563185215, 'probability_percent': 9.2645563185215}, {'rank': 5, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.055836696177721024, 'probability_percent': 5.583669617772102}]"
noise_50,GoogLeNet,ship,frog,61.873847246170044,False,"[{'rank': 1, 'class_id': 6, 'class_name': 'frog', 'probability': 0.6187384724617004, 'probability_percent': 61.873847246170044}, {'rank': 2, 'class_id': 2, 'class_name': 'bird', 'probability': 0.32128894329071045, 'probability_percent': 32.128894329071045}, {'rank': 3, 'class_id': 8, 'class_name': 'ship', 'probability': 0.025449953973293304, 'probability_percent': 2.5449953973293304}, {'rank': 4, 'class_id': 3, 'class_name': 'cat', 'probability': 0.019747065380215645, 'probability_percent': 1.9747065380215645}, {'rank': 5, 'class_id': 4, 'class_name': 'deer', 'probability': 0.00758850434795022, 'probability_percent': 0.758850434795022}]"
occlusion_center_20,VGG16,ship,ship,93.4775173664093,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.934775173664093, 'probability_percent': 93.4775173664093}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.05389611795544624, 'probability_percent': 5.389611795544624}, {'rank': 3, 'class_id': 9, 'class_name': 'truck', 'probability': 0.011092771776020527, 'probability_percent': 1.1092771776020527}, {'rank': 4, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.00023594267258886248, 'probability_percent': 0.023594267258886248}, {'rank': 5, 'class_id': 2, 'class_name': 'bird', 'probability': 7.656653089327392e-10, 'probability_percent': 7.656653089327392e-08}]"
occlusion_center_20,AlexNet,ship,ship,34.41861569881439,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.3441861569881439, 'probability_percent': 34.41861569881439}, {'rank': 2, 'class_id': 9, 'class_name': 'truck', 'probability': 0.2789269685745239, 'probability_percent': 27.892696857452393}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.278317391872406, 'probability_percent': 27.8317391872406}, {'rank': 4, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.026876704767346382, 'probability_percent': 2.687670476734638}, {'rank': 5, 'class_id': 3, 'class_name': 'cat', 'probability': 0.018206914886832237, 'probability_percent': 1.8206914886832237}]"
occlusion_center_20,GoogLeNet,ship,ship,95.88322043418884,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.9588322043418884, 'probability_percent': 95.88322043418884}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.031835272908210754, 'probability_percent': 3.1835272908210754}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.00868905521929264, 'probability_percent': 0.8689055219292641}, {'rank': 4, 'class_id': 9, 'class_name': 'truck', 'probability': 0.0005313609726727009, 'probability_percent': 0.05313609726727009}, {'rank': 5, 'class_id': 3, 'class_name': 'cat', 'probability': 0.00010613101039780304, 'probability_percent': 0.010613101039780304}]"
occlusion_center_40,VGG16,ship,truck,99.98742341995239,False,"[{'rank': 1, 'class_id': 9, 'class_name': 'truck', 'probability': 0.9998742341995239, 'probability_percent': 99.98742341995239}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.00012542989861685783, 'probability_percent': 0.012542989861685783}, {'rank': 3, 'class_id': 8, 'class_name': 'ship', 'probability': 2.9276725399540737e-07, 'probability_percent': 2.9276725399540737e-05}, {'rank': 4, 'class_id': 1, 'class_name': 'automobile', 'probability': 2.8628477366510197e-08, 'probability_percent': 2.8628477366510197e-06}, {'rank': 5, 'class_id': 5, 'class_name': 'dog', 'probability': 1.9179625877947803e-13, 'probability_percent': 1.9179625877947803e-11}]"
occlusion_center_40,AlexNet,ship,truck,54.381173849105835,False,"[{'rank': 1, 'class_id': 9, 'class_name': 'truck', 'probability': 0.5438117384910583, 'probability_percent': 54.381173849105835}, {'rank': 2, 'class_id': 8, 'class_name': 'ship', 'probability': 0.21400617063045502, 'probability_percent': 21.4006170630455}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.1638774275779724, 'probability_percent': 16.38774275779724}, {'rank': 4, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.02432694286108017, 'probability_percent': 2.432694286108017}, {'rank': 5, 'class_id': 3, 'class_name': 'cat', 'probability': 0.0185969490557909, 'probability_percent': 1.8596949055790901}]"
occlusion_center_40,GoogLeNet,ship,ship,98.40646386146545,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.9840646386146545, 'probability_percent': 98.40646386146545}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.01010880060493946, 'probability_percent': 1.010880060493946}, {'rank': 3, 'class_id': 9, 'class_name': 'truck', 'probability': 0.005541142076253891, 'probability_percent': 0.5541142076253891}, {'rank': 4, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.00016111736476887017, 'probability_percent': 0.016111736476887017}, {'rank': 5, 'class_id': 3, 'class_name': 'cat', 'probability': 0.00012061968300258741, 'probability_percent': 0.01206196830025874}]"
occlusion_random_30,VGG16,ship,ship,84.11044478416443,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.8411044478416443, 'probability_percent': 84.11044478416443}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.152800515294075, 'probability_percent': 15.280051529407501}, {'rank': 3, 'class_id': 9, 'class_name': 'truck', 'probability': 0.00609482591971755, 'probability_percent': 0.609482591971755}, {'rank': 4, 'class_id': 1, 'class_name': 'automobile', 'probability': 2.2600070792577753e-07, 'probability_percent': 2.2600070792577753e-05}, {'rank': 5, 'class_id': 2, 'class_name': 'bird', 'probability': 4.0362257806847435e-12, 'probability_percent': 4.0362257806847435e-10}]"
occlusion_random_30,AlexNet,ship,ship,77.55622863769531,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.7755622863769531, 'probability_percent': 77.55622863769531}, {'rank': 2, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.11971934884786606, 'probability_percent': 11.971934884786606}, {'rank': 3, 'class_id': 9, 'class_name': 'truck', 'probability': 0.07631460577249527, 'probability_percent': 7.631460577249527}, {'rank': 4, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.022245250642299652, 'probability_percent': 2.224525064229965}, {'rank': 5, 'class_id': 3, 'class_name': 'cat', 'probability': 0.00269982754252851, 'probability_percent': 0.269982754252851}]"
occlusion_random_30,GoogLeNet,ship,ship,99.65003728866577,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.9965003728866577, 'probability_percent': 99.65003728866577}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.002765282057225704, 'probability_percent': 0.2765282057225704}, {'rank': 3, 'class_id': 3, 'class_name': 'cat', 'probability': 0.0003678230568766594, 'probability_percent': 0.03678230568766594}, {'rank': 4, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.0003502940817270428, 'probability_percent': 0.03502940817270428}, {'rank': 5, 'class_id': 9, 'class_name': 'truck', 'probability': 1.1715172149706632e-05, 'probability_percent': 0.0011715172149706632}]"
original,VGG16,ship,ship,92.32574105262756,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.9232574105262756, 'probability_percent': 92.32574105262756}, {'rank': 2, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.06356281787157059, 'probability_percent': 6.356281787157059}, {'rank': 3, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.012992721050977707, 'probability_percent': 1.2992721050977707}, {'rank': 4, 'class_id': 9, 'class_name': 'truck', 'probability': 0.00018704406102187932, 'probability_percent': 0.01870440610218793}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 6.408647834632575e-09, 'probability_percent': 6.408647834632575e-07}]"
original,AlexNet,ship,ship,78.93419861793518,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.7893419861793518, 'probability_percent': 78.93419861793518}, {'rank': 2, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.1352669894695282, 'probability_percent': 13.52669894695282}, {'rank': 3, 'class_id': 9, 'class_name': 'truck', 'probability': 0.03457421809434891, 'probability_percent': 3.4574218094348907}, {'rank': 4, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.021739056333899498, 'probability_percent': 2.17390563338995}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 0.009925623424351215, 'probability_percent': 0.9925623424351215}]"
original,GoogLeNet,ship,ship,99.99072551727295,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.9999072551727295, 'probability_percent': 99.99072551727295}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 6.435428076656535e-05, 'probability_percent': 0.006435428076656535}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 2.0905134078930132e-05, 'probability_percent': 0.002090513407893013}, {'rank': 4, 'class_id': 3, 'class_name': 'cat', 'probability': 6.5188701228180435e-06, 'probability_percent': 0.0006518870122818043}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 4.6690848876096425e-07, 'probability_percent': 4.6690848876096425e-05}]"
rotated_15,VGG16,ship,ship,93.19015741348267,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.9319015741348267, 'probability_percent': 93.19015741348267}, {'rank': 2, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.05498490855097771, 'probability_percent': 5.498490855097771}, {'rank': 3, 'class_id': 9, 'class_name': 'truck', 'probability': 0.005145616829395294, 'probability_percent': 0.5145616829395294}, {'rank': 4, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.005029994063079357, 'probability_percent': 0.5029994063079357}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 0.002848131349310279, 'probability_percent': 0.2848131349310279}]"
rotated_15,AlexNet,ship,automobile,42.24046468734741,False,"[{'rank': 1, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.4224046468734741, 'probability_percent': 42.24046468734741}, {'rank': 2, 'class_id': 8, 'class_name': 'ship', 'probability': 0.22985488176345825, 'probability_percent': 22.985488176345825}, {'rank': 3, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.16988399624824524, 'probability_percent': 16.988399624824524}, {'rank': 4, 'class_id': 9, 'class_name': 'truck', 'probability': 0.08075122535228729, 'probability_percent': 8.07512253522873}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 0.04754531756043434, 'probability_percent': 4.754531756043434}]"
rotated_15,GoogLeNet,ship,ship,99.81712102890015,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.9981712102890015, 'probability_percent': 99.81712102890015}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.00122203235514462, 'probability_percent': 0.122203235514462}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.00023215144756250083, 'probability_percent': 0.023215144756250083}, {'rank': 4, 'class_id': 9, 'class_name': 'truck', 'probability': 0.0002282057685079053, 'probability_percent': 0.02282057685079053}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 7.135301711969078e-05, 'probability_percent': 0.007135301711969078}]"
rotated_180,VGG16,ship,airplane,56.56817555427551,False,"[{'rank': 1, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.5656817555427551, 'probability_percent': 56.56817555427551}, {'rank': 2, 'class_id': 8, 'class_name': 'ship', 'probability': 0.2871497869491577, 'probability_percent': 28.71497869491577}, {'rank': 3, 'class_id': 7, 'class_name': 'horse', 'probability': 0.07878495007753372, 'probability_percent': 7.878495007753372}, {'rank': 4, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.03286529332399368, 'probability_percent': 3.2865293323993683}, {'rank': 5, 'class_id': 9, 'class_name': 'truck', 'probability': 0.021721016615629196, 'probability_percent': 2.1721016615629196}]"
